!k=p1-p2
T_R	N 
2.5	1.0392e+06
7.5	1.89418e+06
12.5	821952
17.5	424669
22.5	265898
27.5	182651
32.5	135364
37.5	106473
42.5	85911
47.5	71835
52.5	62175
57.5	54632
62.5	48366
67.5	42718
72.5	39134
77.5	35886
82.5	33263
87.5	30242
92.5	27824
