!k=p1-p2
T_R	N 
2.5	1.26834e+07
7.5	4.7968e+07
12.5	3.70366e+07
17.5	1.99326e+07
22.5	1.20045e+07
27.5	8.17596e+06
32.5	6.03452e+06
37.5	4.71256e+06
42.5	3.82983e+06
47.5	3.20546e+06
52.5	2.74444e+06
57.5	2.38307e+06
62.5	2.09781e+06
67.5	1.86521e+06
72.5	1.67506e+06
77.5	1.51416e+06
82.5	1.37472e+06
87.5	1.25628e+06
92.5	1.1502e+06
