!k=p1-p2
T_R	N 
2.5	1.29955e+07
7.5	4.55531e+07
12.5	3.67661e+07
17.5	1.9839e+07
22.5	1.19632e+07
27.5	8.20106e+06
32.5	6.11448e+06
37.5	4.81773e+06
42.5	3.94626e+06
47.5	3.32593e+06
52.5	2.85709e+06
57.5	2.49408e+06
62.5	2.2057e+06
67.5	1.9694e+06
72.5	1.772e+06
77.5	1.60309e+06
82.5	1.46101e+06
87.5	1.3358e+06
92.5	1.22719e+06
